City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,San Patricio,US,77.68,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
2,Hambantota,LK,76.42,overcast clouds,6.1241,81.1185,Bungalow 63
8,Axim,GH,78.51,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
11,Dingle,PH,77.49,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
15,Grand Gaube,MU,75.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
20,Santa Maria,BR,76.3,scattered clouds,-29.6842,-53.8069,Hotel Morotin
24,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
27,Butaritari,KI,81.86,light rain,3.0707,172.7902,Isles Sunset Lodge
39,Ahipara,NZ,79.41,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
41,Labuhan,ID,75.4,overcast clouds,-6.8844,112.2051,DoubleFAG
45,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,Scoop Guest House
48,Santa Cruz,BO,86.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
53,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
60,Carnarvon,AU,78.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
61,Lompoc,US,86.77,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
62,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
64,Maceio,BR,80.04,clear sky,-9.6658,-35.7353,Poutur Pousada
66,Iracoubo,GF,75.83,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
72,Valdez,EC,77.2,moderate rain,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
81,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
85,Rikitea,PF,79.32,clear sky,-23.1203,-134.9692,People ThankYou
89,Cairns,AU,87.12,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
93,Port Moresby,PG,81.82,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
98,Katherine,AU,84.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
107,Laguna,US,77.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
110,Sola,VU,81.12,light rain,-13.8833,167.55,Leumerus Bungalows
112,Mahajanga,MG,78.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
113,Kapaa,US,82.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
118,Quatre Cocos,MU,75.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
120,Upata,VE,76.19,scattered clouds,8.0086,-62.3989,Posada Villa Nela
121,Noumea,NC,87.78,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
128,Geraldton,AU,75.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
135,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
136,Omboue,GA,77.23,overcast clouds,-1.5746,9.2618,Hotel Olako
138,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
141,Sechura,PE,75.7,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
142,Cameta,BR,77.43,overcast clouds,-2.2444,-49.4958,Hotel San Juan
148,Aden,YE,75.92,clear sky,12.7794,45.0367,Sama Emirate Hotel
154,Esperance,AU,75.04,light rain,-33.8667,121.9,Hospitality Esperance
155,Kalmunai,LK,76.42,overcast clouds,7.4167,81.8167,VS Villa
156,Brazzaville,CG,82.71,scattered clouds,-4.2658,15.2832,Hotel Muesse
157,Faanui,PF,82.02,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
159,Lamont,US,85.84,clear sky,35.2597,-118.9143,Buena Vista Mobile Home Park
163,Atuona,PF,77.92,clear sky,-9.8,-139.0333,Villa Enata
164,Miandrivazo,MG,77.85,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
165,Gigmoto,PH,77.7,heavy intensity rain,13.7796,124.39,Cj's Travellers Inn
167,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
170,Morondava,MG,79.36,light rain,-20.2833,44.2833,La Case Bambou
171,Kavaratti,IN,79.9,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
175,Port Augusta,AU,78.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
177,Bubaque,GW,79.05,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
178,Sinnamary,GF,75.92,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
180,Obo,CF,77.32,broken clouds,5.3998,26.4869,
181,Papetoai,PF,85.59,light rain,-17.4961,-149.8729,Fare Vaihere
182,Manga,BF,76.59,few clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
183,Souillac,MU,75.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
185,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
189,Tres Picos,MX,80.91,clear sky,15.8667,-93.5333,Tres picos Chiapas
198,Tadine,NC,83.39,overcast clouds,-21.55,167.8833,
200,Touros,BR,83.3,light rain,-5.1989,-35.4608,INN NEW HORIZON
206,Namibe,AO,75.97,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
213,Ukiah,US,82.53,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
216,Porecatu,BR,84.27,clear sky,-22.7558,-51.3792,Hotel Central
226,Luanda,AO,75.52,overcast clouds,-8.8368,13.2343,Hotel Fórum
227,Bagotville,AU,75.22,light rain,-28.9833,153.4167,Broadwater Sunrise Caravan Park
233,Batemans Bay,AU,75.2,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
245,Maragogi,BR,80.24,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
246,Sokoni,TZ,79.92,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
260,San Jose,US,80.76,scattered clouds,37.3394,-121.895,The Westin San Jose
272,Kavieng,PG,83.55,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
273,Ahuimanu,US,80.2,clear sky,21.4447,-157.8378,Paradise Bay Resort
276,Hobyo,SO,75.33,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
278,Buala,SB,76.15,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
282,Alofi,NU,84.09,clear sky,-19.0595,-169.9187,Taloa Heights
287,Emerald,AU,81.34,overcast clouds,-23.5333,148.1667,The Irish Village
288,Gamba,GA,76.95,few clouds,-2.65,10.0,
290,Palu,ID,76.35,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
291,Half Moon Bay,US,80.8,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
300,Victor Harbor,AU,76.8,clear sky,-35.5667,138.6167,McCracken Country Club
301,Jardim,BR,84.51,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
304,Riberalta,BO,77.2,thunderstorm,-10.9833,-66.1,Hotel Colonial
308,Pangai,TO,86.11,few clouds,-19.8,-174.35,Ha'apai Beach Resort
323,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
325,Piacabucu,BR,80.78,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
330,Ipixuna,BR,80.55,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
334,Port-Gentil,GA,80.6,broken clouds,-0.7193,8.7815,Fengshui Residence
337,Harper,LR,78.48,scattered clouds,4.375,-7.7169,Screensaver
338,Caravelas,BR,75.9,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
340,Kalianget,ID,77.23,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
341,Sao Jose Da Coroa Grande,BR,80.13,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
344,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
346,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
353,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
356,Makakilo City,US,79.02,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
359,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
364,Soyo,AO,77.22,scattered clouds,-6.1349,12.3689,Hotel Mpampa
365,Kpandu,GH,78.87,broken clouds,6.9954,0.2931,Emo House
371,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
374,Oussouye,SN,75.29,clear sky,12.485,-16.5469,Auberge du Routard
381,Vanimo,PG,79.65,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
385,Fowa,NG,76.03,broken clouds,8.9167,6.4,
386,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
403,Candelaria,PH,77.4,overcast clouds,13.9311,121.4233,Casa de Provincia
405,Panama City,PA,85.05,few clouds,8.9936,-79.5197,Riande Urban Hotel
406,Kandrian,PG,80.38,moderate rain,-6.2167,149.55,Kandrian Station
408,Takoradi,GH,79.2,scattered clouds,4.8845,-1.7554,Raybow International Hotel
