City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cururupu,BR,-1.8283,-44.8683,74.68,96,97,3.24,overcast clouds
1,San Patricio,US,28.017,-97.5169,77.68,71,12,14.07,few clouds
2,Hambantota,LK,6.1241,81.1185,76.42,88,99,11.63,overcast clouds
3,Yonibana,SL,8.4447,-12.245,71.47,96,15,2.26,few clouds
4,Qaanaaq,GL,77.484,-69.3632,-23.55,56,0,7.43,clear sky
5,Torbay,CA,47.6666,-52.7314,36.57,82,0,23.02,clear sky
6,Komsomolsk,UA,49.0097,33.6455,34.18,95,95,2.17,overcast clouds
7,Hermanus,ZA,-34.4187,19.2345,64.9,89,1,7.7,clear sky
8,Axim,GH,4.8699,-2.2405,78.51,86,37,7.09,scattered clouds
9,Andenes,NO,69.3143,16.1194,23.07,80,100,12.66,overcast clouds
10,Selam,IN,11.65,78.1667,68.97,78,19,5.12,few clouds
11,Dingle,PH,10.9995,122.6711,77.49,88,100,11.92,overcast clouds
12,Kuybyshevo,RU,47.8123,38.9073,38.43,91,100,8.88,overcast clouds
13,Novyy Urengoy,RU,66.0833,76.6333,-8.99,85,94,12.03,overcast clouds
14,Nikolskoye,RU,59.7035,30.7861,26.49,92,39,8.93,scattered clouds
15,Grand Gaube,MU,-20.0064,57.6608,75.38,82,64,1.99,broken clouds
16,Hasaki,JP,35.7333,140.8333,37.8,52,28,12.68,scattered clouds
17,Cape Town,ZA,-33.9258,18.4232,68.88,81,0,17.27,clear sky
18,Punta Arenas,CL,-53.15,-70.9167,55.51,71,75,32.21,broken clouds
19,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,70.93,95,66,2.86,broken clouds
20,Santa Maria,BR,-29.6842,-53.8069,76.3,78,40,8.05,scattered clouds
21,Yumen,CN,40.2833,97.2,23.43,45,87,2.51,overcast clouds
22,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,69,75,6.91,broken clouds
23,Zhangjiakou,CN,40.81,114.8794,24.01,78,99,0.92,light snow
24,Vaini,TO,-21.2,-175.2,86.16,84,20,8.05,few clouds
25,Barrow,US,71.2906,-156.7887,-32.78,100,0,4.61,haze
26,Khromtau,KZ,50.2503,58.4347,13.77,94,89,14.38,overcast clouds
27,Butaritari,KI,3.0707,172.7902,81.86,78,80,16.11,light rain
28,Steinbach,DE,50.1667,8.5667,35.47,93,0,2.3,clear sky
29,New Norfolk,AU,-42.7826,147.0587,63.91,48,19,3.0,few clouds
30,Labe,GN,11.3182,-12.2833,65.59,16,51,3.76,broken clouds
31,Northam,GB,51.0333,-4.2167,45.3,82,97,14.05,overcast clouds
32,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,32.21,snow
33,Yabrud,SY,33.9674,36.6574,24.46,54,0,2.98,clear sky
34,Ushuaia,AR,-54.8,-68.3,51.46,82,100,10.36,moderate rain
35,Port Elizabeth,ZA,-33.918,25.5701,65.79,83,0,3.06,clear sky
36,Marshfield,US,44.6689,-90.1718,23.88,68,100,20.71,overcast clouds
37,Dikson,RU,73.5069,80.5464,2.55,82,100,29.28,overcast clouds
38,Inhambane,MZ,-23.865,35.3833,73.99,79,5,8.25,clear sky
39,Ahipara,NZ,-35.1667,173.1667,79.41,80,97,19.3,overcast clouds
40,Saskylakh,RU,71.9167,114.0833,7.09,90,98,14.76,overcast clouds
41,Labuhan,ID,-6.8844,112.2051,75.4,90,100,2.21,overcast clouds
42,Kodiak,US,57.79,-152.4072,38.71,87,100,8.05,light rain
43,Salalah,OM,17.0151,54.0924,73.49,64,20,3.44,few clouds
44,Bitam,GA,2.076,11.5007,73.38,81,98,4.16,overcast clouds
45,Hithadhoo,MV,-0.6,73.0833,81.18,69,90,8.86,overcast clouds
46,Mataura,NZ,-46.1927,168.8643,58.48,54,90,9.98,overcast clouds
47,Provideniya,RU,64.3833,-173.3,-12.59,87,6,8.12,clear sky
48,Santa Cruz,BO,-17.8,-63.1667,86.05,58,75,9.22,broken clouds
49,Port Macquarie,AU,-31.4333,152.9167,73.36,94,75,6.91,broken clouds
50,Hofn,IS,64.2539,-15.2082,27.43,78,100,21.34,overcast clouds
51,East London,ZA,-33.0153,27.9116,72.43,86,63,4.94,broken clouds
52,Severo-Kurilsk,RU,50.6789,156.125,26.83,83,99,9.33,light snow
53,Saint-Philippe,RE,-21.3585,55.7679,76.59,71,20,6.31,few clouds
54,Airai,TL,-8.9266,125.4092,66.24,85,99,1.9,overcast clouds
55,Tiksi,RU,71.6872,128.8694,-12.1,92,99,17.47,overcast clouds
56,Adrar,MR,20.5022,-10.0711,60.73,20,51,10.4,broken clouds
57,Beringovskiy,RU,63.05,179.3167,-22.61,93,32,10.49,scattered clouds
58,Upernavik,GL,72.7868,-56.1549,-9.72,75,100,16.42,overcast clouds
59,College,US,64.8569,-147.8028,10.8,73,75,6.91,broken clouds
60,Carnarvon,AU,-24.8667,113.6333,78.87,73,40,3.44,scattered clouds
61,Lompoc,US,34.6391,-120.4579,86.77,27,0,9.22,clear sky
62,Avarua,CK,-21.2078,-159.775,84.25,74,51,10.36,broken clouds
63,Mount Gambier,AU,-37.8333,140.7667,66.11,59,0,14.97,clear sky
64,Maceio,BR,-9.6658,-35.7353,80.04,78,0,8.05,clear sky
65,Sisimiut,GL,66.9395,-53.6735,20.43,96,100,4.88,snow
66,Iracoubo,GF,5.4802,-53.2011,75.83,89,35,10.2,scattered clouds
67,Zelenogorskiy,RU,55.0333,87.0,-10.68,100,75,2.44,broken clouds
68,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,38,0,8.99,clear sky
69,Bluff,NZ,-46.6,168.3333,58.8,66,55,19.22,broken clouds
70,Chuy,UY,-33.6971,-53.4616,72.79,86,50,15.37,scattered clouds
71,Smidovich,RU,48.6,133.8167,12.49,95,100,6.53,light snow
72,Valdez,EC,1.2492,-78.9831,77.2,87,39,7.7,moderate rain
73,Ancud,CL,-41.8697,-73.8203,60.42,68,4,4.52,clear sky
74,Puerto Ayora,EC,-0.7393,-90.3518,72.55,99,80,3.0,broken clouds
75,Busselton,AU,-33.65,115.3333,68.56,75,23,6.73,few clouds
76,Thompson,CA,55.7435,-97.8558,-14.64,58,20,6.91,few clouds
77,Khash,IR,28.2211,61.2158,46.72,36,0,2.48,clear sky
78,Nanortalik,GL,60.1432,-45.2371,29.55,76,100,9.95,overcast clouds
79,Minab,IR,27.1467,57.0801,59.32,82,0,0.0,clear sky
80,Mayo,US,38.8876,-76.5119,62.69,56,0,5.99,clear sky
81,Cayenne,GF,4.9333,-52.3333,78.1,87,75,7.0,broken clouds
82,Kruisfontein,ZA,-34.0033,24.7314,61.2,86,0,1.41,clear sky
83,Grindavik,IS,63.8424,-22.4338,28.87,80,75,14.97,broken clouds
84,Galveston,US,29.3669,-94.9669,70.21,74,0,14.97,clear sky
85,Rikitea,PF,-23.1203,-134.9692,79.32,73,1,16.62,clear sky
86,Sept-Iles,CA,50.2001,-66.3821,16.23,67,75,2.3,broken clouds
87,Hobart,AU,-42.8794,147.3294,64.26,61,75,1.01,broken clouds
88,Khatanga,RU,71.9667,102.5,0.01,82,82,14.38,broken clouds
89,Cairns,AU,-16.9167,145.7667,87.12,70,40,8.05,scattered clouds
90,Coihaique,CL,-45.5752,-72.0662,62.55,48,0,4.61,clear sky
91,Kamaishi,JP,39.2667,141.8833,20.35,66,34,0.94,scattered clouds
92,Margate,GB,51.3813,1.3862,42.31,84,97,3.0,overcast clouds
93,Port Moresby,PG,-9.4431,147.1797,81.82,69,20,11.5,few clouds
94,Husavik,IS,66.0449,-17.3389,22.91,87,99,8.41,overcast clouds
95,Liverpool,GB,53.4106,-2.9779,43.77,80,0,12.66,light rain
96,Qui Nhon,VN,13.7667,109.2333,73.62,85,100,6.55,overcast clouds
97,Bredasdorp,ZA,-34.5322,20.0403,69.12,73,15,3.44,few clouds
98,Katherine,AU,-14.4667,132.2667,84.52,79,40,10.36,scattered clouds
99,Cabo San Lucas,MX,22.8909,-109.9124,74.61,63,0,1.05,clear sky
100,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.92,96,94,1.86,heavy intensity rain
101,Kilinochchi,LK,9.3961,80.3982,74.61,95,100,10.31,overcast clouds
102,Fortuna,US,40.5982,-124.1573,73.42,59,0,9.22,clear sky
103,Yellowknife,CA,62.456,-114.3525,-7.08,71,40,3.44,scattered clouds
104,Tura,IN,25.5198,90.2201,52.3,71,0,2.62,clear sky
105,Castro,BR,-24.7911,-50.0119,65.16,78,59,8.75,broken clouds
106,Richards Bay,ZA,-28.783,32.0377,71.55,91,5,5.08,clear sky
107,Laguna,US,38.421,-121.4238,77.29,46,0,4.61,clear sky
108,Tilichiki,RU,60.4667,166.1,-13.95,84,6,9.4,clear sky
109,Linxia,CN,35.6003,103.2064,17.56,95,100,0.83,overcast clouds
110,Sola,VU,-13.8833,167.55,81.12,76,99,11.12,light rain
111,Goure,NE,13.9835,10.2704,58.71,19,0,8.84,clear sky
112,Mahajanga,MG,-15.7167,46.3167,78.82,89,20,2.3,few clouds
113,Kapaa,US,22.0752,-159.319,82.11,62,0,6.91,clear sky
114,Usinsk,RU,65.9939,57.5281,9.41,86,100,14.0,overcast clouds
115,Tessalit,ML,20.1986,1.0114,64.94,16,2,4.94,clear sky
116,Sinnar,SD,13.5691,33.5672,72.57,15,0,14.61,clear sky
117,Cidreira,BR,-30.1811,-50.2056,74.55,82,0,21.09,clear sky
118,Quatre Cocos,MU,-20.2078,57.7625,75.09,83,54,0.34,broken clouds
119,Jalu,LY,29.0331,21.5482,52.07,53,0,6.15,clear sky
120,Upata,VE,8.0086,-62.3989,76.19,74,32,7.76,scattered clouds
121,Noumea,NC,-22.2763,166.4572,87.78,99,77,7.16,broken clouds
122,Cetraro,IT,39.5166,15.9416,57.87,72,94,2.57,overcast clouds
123,Narsaq,GL,60.9167,-46.05,23.81,78,100,6.42,overcast clouds
124,Saint George,US,37.1041,-113.5841,72.43,15,0,8.01,clear sky
125,Jamestown,US,42.097,-79.2353,46.09,64,100,20.71,overcast clouds
126,Skjervoy,NO,70.0311,20.9714,29.55,69,100,16.33,light snow
127,Saint-Ambroise,CA,48.5501,-71.3324,26.2,74,100,6.91,light snow
128,Geraldton,AU,-28.7667,114.6,75.61,78,75,5.75,broken clouds
129,Ostrovnoy,RU,68.0531,39.5131,15.3,96,97,7.81,overcast clouds
130,Mehamn,NO,71.0357,27.8492,28.35,63,99,17.13,overcast clouds
131,Iqaluit,CA,63.7506,-68.5145,-2.31,84,100,3.44,light snow
132,Korostyshiv,UA,50.3172,29.0563,36.18,95,100,10.51,overcast clouds
133,Tasiilaq,GL,65.6145,-37.6368,14.16,68,100,3.91,overcast clouds
134,Longyearbyen,SJ,78.2186,15.6401,19.24,86,75,3.44,light snow
135,Padang,ID,-0.9492,100.3543,75.25,77,100,2.86,overcast clouds
