City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Goiatuba,BR,2022-02-01 20:58:24,-18.0125,-49.3547,73.62,88,100,1.01
1,Arlit,NE,2022-02-01 20:58:24,18.7369,7.3853,64.71,11,3,8.14
2,Lagoa,PT,2022-02-01 20:58:02,39.05,-27.9833,58.44,75,59,17.4
3,Provideniya,RU,2022-02-01 20:58:25,64.3833,-173.3,8.67,66,4,22.95
4,Jamestown,US,2022-02-01 20:57:30,42.097,-79.2353,39.94,84,100,16.02
5,Chimbote,PE,2022-02-01 20:58:25,-9.0853,-78.5783,75.2,69,100,11.21
6,Avarua,CK,2022-02-01 20:58:26,-21.2078,-159.775,82.45,78,20,11.5
7,Arraial Do Cabo,BR,2022-02-01 20:58:26,-22.9661,-42.0278,78.76,89,75,9.22
8,Minsk,BY,2022-02-01 20:55:00,53.9,27.5667,24.55,95,100,9.4
9,Salinas,US,2022-02-01 20:54:26,36.6777,-121.6555,61.52,35,0,7.85
10,Angul,IN,2022-02-01 20:58:27,20.85,85.1,61.79,37,5,2.55
11,Hilo,US,2022-02-01 20:57:28,19.7297,-155.09,77.25,75,57,4.0
12,Havelock,US,2022-02-01 20:55:38,34.8791,-76.9013,56.05,52,0,5.99
13,Rikitea,PF,2022-02-01 20:54:59,-23.1203,-134.9692,78.21,70,91,5.97
14,Bilibino,RU,2022-02-01 20:58:03,68.0546,166.4372,5.76,65,100,6.17
15,Port Hardy,CA,2022-02-01 20:53:58,50.6996,-127.4199,41.18,81,100,5.75
16,Sao Joao Da Barra,BR,2022-02-01 20:58:28,-21.6403,-41.0511,86.09,86,93,5.66
17,Puerto Ayora,EC,2022-02-01 20:58:28,-0.7393,-90.3518,82.36,92,76,4.0
18,Port Alfred,ZA,2022-02-01 20:54:11,-33.5906,26.891,77.23,82,100,9.15
19,Busselton,AU,2022-02-01 20:58:29,-33.65,115.3333,61.05,67,21,18.28
20,Victoria,HK,2022-02-01 20:54:55,22.2855,114.1577,61.25,91,100,1.99
21,Chalchihuites,MX,2022-02-01 20:58:29,23.4833,-103.8833,68.41,7,0,17.98
22,Vaini,TO,2022-02-01 20:58:30,-21.2,-175.2,82.56,78,75,4.61
23,Barrow,US,2022-02-01 20:54:57,71.2906,-156.7887,-23.03,100,24,6.11
24,Ponta Do Sol,PT,2022-02-01 20:58:30,32.6667,-17.1,67.01,72,48,11.81
25,Bathsheba,BB,2022-02-01 20:58:31,13.2167,-59.5167,84.81,61,20,14.97
26,Kavaratti,IN,2022-02-01 20:58:31,10.5669,72.642,79.95,71,2,9.42
27,Laguna,US,2022-02-01 20:55:34,38.421,-121.4238,62.44,28,0,11.01
28,Khandbari,NP,2022-02-01 20:58:31,27.3747,87.2039,42.84,76,30,4.5
29,Katsuura,JP,2022-02-01 20:57:47,35.1333,140.3,39.31,43,42,15.32
30,Alice Springs,AU,2022-02-01 20:56:07,-23.7,133.8833,71.15,100,100,9.22
31,Marzuq,YE,2022-02-01 20:58:32,14.4,46.4667,63.43,78,53,4.56
32,Kathmandu,NP,2022-02-01 20:53:52,27.7167,85.3167,41.22,93,20,3.44
33,Nikolskoye,RU,2022-02-01 20:58:33,59.7035,30.7861,24.69,98,100,2.86
34,Oksfjord,NO,2022-02-01 20:58:33,70.2396,22.3479,25.72,52,90,10.54
35,Saint George,US,2022-02-01 20:57:10,37.1041,-113.5841,54.07,24,10,3.0
36,Magadan,RU,2022-02-01 20:58:34,59.5667,150.8,-0.6,78,53,10.85
37,Castro,BR,2022-02-01 20:58:34,-24.7911,-50.0119,75.72,72,4,4.79
38,Zarubino,RU,2022-02-01 20:58:34,42.63,131.0922,14.94,65,1,17.65
39,Dawei,MM,2022-02-01 20:58:35,14.0833,98.2,68.61,92,85,3.38
40,Korla,CN,2022-02-01 20:58:35,41.7597,86.1469,23.02,45,22,2.01
41,Tasiilaq,GL,2022-02-01 20:58:35,65.6145,-37.6368,0.97,71,96,6.35
42,Atuona,PF,2022-02-01 20:58:36,-9.8,-139.0333,78.57,70,17,21.61
43,Mvuma,ZW,2022-02-01 20:58:36,-19.2792,30.5283,66.79,79,94,5.97
44,Shemonaikha,KZ,2022-02-01 20:58:36,50.6328,81.9056,-7.06,94,10,2.82
45,Galesong,ID,2022-02-01 20:58:37,-5.3166,119.3661,75.22,83,100,3.8
46,Fortuna,US,2022-02-01 20:57:22,40.5982,-124.1573,51.93,56,0,5.01
47,Bluff,NZ,2022-02-01 20:59:37,-46.6,168.3333,73.8,71,100,13.18
48,Mahebourg,MU,2022-02-01 20:55:08,-20.4081,57.7,79.09,94,75,19.57
49,Sarangani,PH,2022-02-01 20:59:38,5.4033,125.4636,81.55,73,100,19.33
50,Kapaa,US,2022-02-01 20:57:33,22.0752,-159.319,78.12,69,58,1.01
51,Hobart,AU,2022-02-01 20:59:38,-42.8794,147.3294,54.05,57,20,1.01
52,Maumere,ID,2022-02-01 20:59:39,-8.6199,122.2111,78.73,83,55,9.55
53,Punta Arenas,CL,2022-02-01 20:58:46,-53.15,-70.9167,53.62,50,40,42.57
54,Puerto Escondido,MX,2022-02-01 20:59:39,15.85,-97.0667,85.12,56,1,15.17
55,Birecik,TR,2022-02-01 20:59:40,37.0294,37.9903,42.01,89,100,5.21
56,Wajima,JP,2022-02-01 20:59:40,37.4,136.9,38.16,59,100,21.07
57,Cap-Aux-Meules,CA,2022-02-01 20:59:40,47.3821,-61.8597,17.65,67,75,10.36
58,Pevek,RU,2022-02-01 20:59:41,69.7008,170.3133,-12.44,86,98,3.49
59,Melito Di Porto Salvo,IT,2022-02-01 20:59:41,37.9222,15.7714,53.78,46,20,19.57
60,Coquimbo,CL,2022-02-01 20:59:41,-29.9533,-71.3436,71.33,60,0,12.66
61,Yellowknife,CA,2022-02-01 20:56:30,62.456,-114.3525,-19.59,69,0,11.5
62,Albany,US,2022-02-01 20:59:42,42.6001,-73.9662,35.62,52,42,1.99
63,Inverness,GB,2022-02-01 20:59:42,57.4791,-4.224,44.22,77,75,3.0
64,Arroio Grande,BR,2022-02-01 20:59:43,-32.2375,-53.0869,78.31,35,0,11.56
65,Georgetown,MY,2022-02-01 20:57:49,5.4112,100.3354,82.33,88,20,3.0
66,Tsagan Aman,RU,2022-02-01 20:59:43,47.5639,46.7218,30.87,96,98,6.98
67,Wegrow,PL,2022-02-01 20:59:44,52.3995,22.0163,34.59,95,100,12.12
68,Wendo,ET,2022-02-01 20:59:44,6.6,38.4167,60.69,45,94,3.58
69,Ushuaia,AR,2022-02-01 20:57:48,-54.8,-68.3,51.42,81,75,37.98
70,Nome,US,2022-02-01 20:57:19,64.5011,-165.4064,19.17,69,0,21.09
71,Yumen,CN,2022-02-01 20:59:45,40.2833,97.2,18.01,28,7,5.19
72,Kodiak,US,2022-02-01 20:57:50,57.79,-152.4072,38.71,100,100,11.5
73,Turbat,PK,2022-02-01 20:59:45,26.0023,63.044,69.58,48,0,2.73
74,Kozlovo,RU,2022-02-01 20:59:46,56.5167,36.2667,21.76,94,100,8.79
75,Khorramshahr,IR,2022-02-01 20:59:46,30.4397,48.1664,55.36,88,0,6.91
76,Mount Gambier,AU,2022-02-01 20:59:47,-37.8333,140.7667,48.11,71,75,4.61
